time,20250124_1,20250124_2,20250124_3,20250124_4,20250124_5,20250124_6,20250218_1,20250218_2,20250218_3,20250218_4,20250218_5,20250218_6,20250219_1,20250219_2,20250219_3,20250219_4,20250219_5,20250219_6,20250219_7,20250219_8,20250219_9,20250219_10,mean,se
0.0,,,1.0,0.8769475797737949,0.8917902387646272,,0.9104445044110538,1.0,0.8628090284775554,1.0,,1.0,0.9701056456636141,1.0,0.9930845882043423,1.0,0.8761963741249125,1.0,0.8081311767305556,,0.8950884549011827,0.9109037666769667,0.9409118445722707,0.062480998362141285
0.0001,0.9996929009918436,1.0,,1.0,0.8661963250240359,0.8293518654824817,0.9066918389871682,0.8441572188541031,1.0,0.7973154163497218,1.0,0.9581738041262298,0.9665406421213193,,0.9979002239515671,0.8876840786060307,,0.9985495392696759,,,0.9513790072174293,0.940532615532608,0.9378920868537773,0.06726320540190292
0.0002,1.0,,0.8900257594298209,0.9874293612400974,1.0,1.0,1.0,0.9035634395395881,0.9062627430282312,0.976742481332825,,0.8610254426872089,1.0,,0.9206348042832182,0.8989849355501547,0.9421558076559677,0.9480958059911196,0.9299547353003773,,0.9473651598186766,1.0,0.9506800264365158,0.045110506639931866
0.0003,,0.8700894251835627,0.9580503996699077,0.9658451459922711,0.8074583875302126,,0.8457835324419724,0.8939874021693365,0.9827206438052953,0.9273877794735583,0.9797708782347724,0.9762016994212583,,,0.9168460196747477,0.9378525423769994,1.0,,1.0,,1.0,0.9054157276338328,0.9354630989754829,0.056748524196196595
0.0004,0.8967102906746809,,0.9024182575111048,0.8213698675070139,0.7645030280124555,0.7966774947048667,0.8771295007675081,,0.8248023506571439,0.837490759462554,,0.8320935959048967,0.9047172039776669,0.9415926710775884,1.0,0.9809071842000365,0.8661468828719942,0.8981711007819864,0.8204547386077461,,0.8483587429717055,0.9033471700593463,0.8731606022083498,0.06028517152580859
0.0005,,0.8470333512152338,0.9047087877100222,0.8018621115663709,0.8870468397665514,,0.8430255042711119,0.9469665656112125,0.8638772760020627,0.809854165122014,,0.7692026634500725,0.9137880173937846,,0.8861947851425488,0.8794614885341853,0.8209633644409858,,,,0.7984228987143882,,0.8551719870671818,0.04917243434725426
0.0006,0.7483125397717607,0.7960171423412208,0.7942540577011815,0.8049613389481484,0.7012895909075397,,0.8292387342947901,0.7946269010150359,0.8619427103706543,0.7546240219994504,,,0.8085445211477063,,,0.8552084965024602,0.8786104928474291,0.8712196826161182,0.7355441635345565,1.0,0.7411725104000347,0.8047690160155652,0.8106079953184501,0.06832719458191187
0.0007,0.7875011064401731,0.716167230642468,0.6451717915253871,,0.5557012792151539,0.5887725457466944,0.6030892807423505,0.6894994415489553,0.6784126926698814,0.6535080937898818,,0.6918184545452212,0.747731058473032,,,0.7931219598963508,0.6436417703728202,0.8388180444863954,,0.8224931856550137,0.5886391587864505,0.7409752434729951,0.6932389610593661,0.08332020511166666
0.0008,0.6196497754036306,,0.6758712688479854,0.6327045756437092,0.5353990843536754,0.5575844755975838,,0.6644825438978775,0.6494287187650235,0.6894201553003565,,0.6175998991773155,0.716112389069245,0.7559846978963477,0.7633106957685445,0.7369668146537481,0.6673139471417784,0.6832738306269874,0.5919030002438778,,0.6784082992730792,,0.660906715980045,0.062285147665906766
0.0009,,0.695487794811167,0.5480458578953752,,0.4790735785447781,0.588309136073661,0.6012324899607109,0.667590954012758,0.6280378081392769,,,0.5586464391911696,0.6273283581721568,0.6499411100598662,0.6280695029688934,0.6858832319753546,0.556033942177534,0.5864143421053148,0.6303654305687654,0.7418661827974202,,,0.6170203849658877,0.06303702332230816
0.001,,0.6635883041886814,0.5335713358925074,0.5423643919388719,0.47057139745999765,0.6083602579501319,,0.6438797700078835,0.5764822597810257,0.6265849519485996,,,0.6122919276867949,0.6394473868256515,0.6242524037988891,0.606587953509419,0.6610696439923242,0.6951823171133416,0.6014529224372948,0.6565909114519742,0.6109397842506092,0.628298103792673,0.6111953346681482,0.05205875187100753
0.0011,0.4398529619362713,,0.543943058296925,0.4366964017308535,,0.46834709373977534,0.42880396680968735,0.4448986908940256,0.532562200742254,0.5260481163784027,,0.45805306720465916,0.5370727661670835,0.6053078317180238,0.5586223245558378,0.5128293403264623,0.5507315773749188,0.5371642695021357,,0.6733260766174685,0.5298568217619106,,0.5167127391621585,0.06341573994160807
